"","street_address","latitude","longitude","wam_age","wam_income","ttl_value","ttl_population","ttl_white","ttl_black","ttl_asian","ttl_hispanic","ttl_other"
"234","1055 Old Peachtree Rd",34.000902,-84.069795,37.7754764292879,79682.7316213494,1998,963587,519794,190247,83358,143467,26721
"235","10550 U.s. 1",32.868282,-82.395738,41.7500586166471,48820.0348557692,853,304376,208358,62204,4213,22065,7536
"236","10569 Tara Blvd",33.465932,-84.335197,40.568,46303.04,25,15506,4876,8014,1117,1185,314
"237","1057 Shake Rag Rd",34.937343,-83.73875,46.7830769230769,57636.4365079365,130,56033,47615,3592,741,2945,1140
"238","1057 Veterans Memorial Hwy SW",33.818122,-84.584518,36.1444444444444,62329.1111111111,126,72710,26061,34814,807,8830,2198
"239","1057 West Ave SW",33.665304,-84.027419,35.9578313253012,67335.1084337349,83,59311,32366,16687,1042,7754,1462
"240","10571 Flat Shoals Rd",33.564308,-83.870851,39.0757961783439,57316.6458333333,157,73175,41459,25620,783,3983,1330
"241","1058 Georgia 142",33.572825,-83.770106,38.2259689922481,69244.0511811024,258,81791,50382,22162,864,6881,1502
"242","1058 Kiutuestia Creek Rd",34.858016,-84.006718,51.9147058823529,50674.8781512605,238,54495,50048,1119,234,2119,975
"243","1058 Us 441",31.312675,-82.847596,37.0145454545455,42635.1568627451,55,21762,12890,5834,313,2570,155
"244","106 Airport Road Ext",32.485071,-83.758861,56.7,49100,4,1004,853,116,33,1,1
"245","106 Broad St",32.308486,-84.792185,39.994952681388,56208.0349206349,634,287835,182269,66678,9909,21257,7722
"246","106 Davis Rd",33.280316,-85.098532,38.6557692307692,51562.3461538462,52,21290,14133,4893,298,1371,595
"247","106 E Monroe Ave",31.704612,-83.652383,39.5615384615385,48129.9142857143,39,12022,4288,5587,87,1913,147
"248","106 E Monroe Ave",31.704624,-83.652378,41.3011764705882,48069.5540540541,85,19419,11466,6392,360,899,302
"249","106 Lyerly St",34.47622,-85.349669,42.3961977186312,42064.1906614786,263,47624,40045,4505,538,1789,747
"250","106 Ocilla Hwy",31.705397,-83.252487,39.2151741293532,40288.0973684211,402,44583,27575,12976,255,3276,501
"251","106 Us 82",31.517255,-83.784762,38.6084112149533,51550.2315789474,107,35041,23057,8199,1132,2079,574
"252","106 Walnut Ave S",31.731555,-84.172413,38.655035971223,53251.4416058394,278,76168,41024,29665,1057,3153,1269
"253","1060 S Main St",34.683082,-84.493746,43.6197044334975,59292.243718593,406,146517,114855,8170,2487,17587,3418
"254","10600 Davis Dr",34.040899,-84.31388,39.3611413043478,100533.877161056,1104,618811,368917,107500,57085,67495,17814
"255","1061 Highway 106",34.53265,-83.326693,41.3934343434343,54580.0353535354,396,132749,104942,12553,1877,10452,2925
"256","1061 Sugar Valley Rd SW",34.186753,-84.873088,40.120325203252,65010.837398374,123,38343,31689,3949,93,1917,695
"257","10613 Murphy Hwy",34.986733,-84.074248,49.4646258503401,55332.5664335664,147,66077,51946,4890,2377,5254,1610
"258","1063 Russell Pkwy",32.593622,-83.644105,37.9777173913043,58104.5597826087,184,83757,48088,23607,2837,7272,1953
"259","10636 GA Highway 29",32.436715,-82.677754,40.9652901785714,58505.8610792193,896,448013,289064,103232,11859,31351,12507
"260","10645 State Bridge Rd",34.040426,-84.21871,38.7,107626.319047619,210,142854,76577,24722,21534,14842,5179
"261","1065 Milledgeville Hwy",33.199024,-83.294768,42.2278899082569,60090.0056285178,545,248519,167328,56912,5792,12788,5699
"262","1066 Forrester Dr SE",31.760636,-84.433814,41.6157024793388,50851.1487603306,121,48804,27370,14552,2501,3397,984
"263","1066 Forrester Dr SE",31.760656,-84.433806,40.1882978723404,46798.7659574468,94,38941,18739,14271,963,4019,949
"264","1066 Georgia Highway 100 S",33.688728,-85.262294,39.9574468085106,56519.7304964539,141,69447,46652,16314,679,4092,1710
"265","1069 Main St",33.502631,-84.920654,40.4,55167,4,2601,2465,120,0,0,16
"266","10692 Us 411 N",34.927208,-84.747574,41.025,48570.3333333333,48,21972,14639,3367,191,2959,816
"267","107 E Franklin St",31.530919,-83.836039,40.8131782945736,50293.8965517241,129,38416,23564,11819,481,1931,621
"268","107 Lewiston Rd",33.50714,-82.202528,35.9648221343874,80401.4308300395,253,135154,85632,27938,4444,11303,5837
"269","107 Mattox Ct",33.039612,-84.98585,39.0333333333333,46924,12,6160,4005,1958,39,95,63
"270","107 Mercer St",33.720949,-82.682511,39.2,40069,4,856,375,473,0,0,8
"271","107 Scott St",33.614178,-83.074919,38.1,60178.5,8,3256,2444,692,5,108,7
"272","10710 GA Highway 122",30.907261,-83.828606,41.0794871794872,48842.6335078534,195,61931,44048,11186,1116,4376,1205
"273","1072 Cascade Rd SW",33.725879,-84.445856,36.4363636363636,52238.7386363636,88,41377,9853,26961,1185,2763,615
"274","1072 Peachtree Industrial Blvd",34.049192,-84.09132,38.9356415478615,94984.3531827515,491,296364,163988,46242,44148,32744,9242
"275","10724 By Pass Ave",33.571133,-83.849433,37.7632516703786,59420.8912037037,449,165399,100399,46900,3210,11839,3051
"276","1075 Blackshear Hwy",31.749607,-82.349907,37.763768115942,47784.6376811594,138,50495,32779,9135,326,6888,1367
"277","1075 Peachtree Industrial Blvd",34.050185,-84.092242,38.406719924812,104679.61348528,2128,954133,542519,162917,109779,111382,27536
"278","10761 Alpharetta Hwy",34.040902,-84.341654,38.3839622641509,93579.4803921569,106,62722,32889,10293,5452,11612,2476
"279","10761 Highway 9",34.040907,-84.341659,36.0558620689655,85124.724137931,145,81994,39396,20561,4382,14774,2881
"280","1078 Highway 19 N",32.924665,-84.333314,41.5883817427386,48485.2946428571,241,72283,50666,16207,981,2324,2105
"281","1079 North Ave NE",33.770946,-84.352147,36.4197740112994,82364.7514124294,177,93643,50248,29284,5148,6241,2722
"282","108 E Crogan St",33.957539,-83.977507,33.2341013824885,67222.198156682,217,146878,63924,46836,8244,22993,4881
"283","108 N 1st St",31.173253,-84.733044,42.2488817891374,44771.4789644013,313,55355,31349,21071,214,1925,796
"284","108 Northside Dr NW",33.757279,-84.403055,38.7640883977901,69107.0773480663,181,137367,76289,36249,6233,13680,4916
"285","108 W Harris St",32.864976,-84.854935,42.5519906323185,56611.2576112412,427,138520,89089,35481,3563,7088,3299
"286","108 Westgreen Rd",31.509185,-82.831981,36.778640776699,45935.6020408163,206,48887,30990,12282,338,4829,448
"287","1080 Dahlonega Hwy",34.231626,-84.124661,40.0402777777778,91454.2704626334,288,165235,125637,11459,9611,14401,4127
"288","1080 GA Highway 96",32.550047,-83.690491,37.9738811445341,70636.9583952452,1363,432249,267680,113718,14013,25987,10851
"289","1080 Jodeco Rd",33.499302,-84.248573,40.9355329949239,74436.1472081218,197,136734,61078,55794,6010,9395,4457
"290","1080 McFarland Pkwy",34.118405,-84.223948,39.1181479179615,105140.170518426,1609,851430,508719,132023,74787,112014,23887
"291","1080 S Cobb Dr SE",33.926195,-84.551747,34.5280991735537,55716.9008264463,121,55280,24101,13534,4395,11241,2009
"292","10801 Veterans Memorial Hwy",33.793092,-84.671563,35.5958333333333,59065.2548076923,216,136324,67238,48235,2097,14990,3764
"293","1081 Belwood Rd SE",34.444865,-84.915412,39.8447199468674,60763.0440053884,4525,2408874,1651335,351875,73379,264276,68009
"294","10819 Us 280",32.180642,-81.462341,39.9739336492891,50957.2417061611,211,91928,63543,18600,1246,6003,2536
"295","10820 US Highway 280",32.179667,-81.461791,39.2236559139785,52552.0112359551,186,66123,46330,14039,464,3166,2124
"296","10820 US Highway 280",32.17979,-81.46158,39.6885350318471,55665.2165605096,157,67633,46272,16657,594,2264,1846
"297","10820 US Highway 280",32.180026,-81.461826,38.8931297709924,63463.0377604167,786,370131,264983,61309,9589,24520,9730
"298","1085 Athens Rd",33.883206,-83.14974,41.7530201342282,49815.8571428571,298,97082,61939,17740,1446,14244,1713
"299","1085 Irwin Bridge Rd NW",33.67369,-84.024472,36.1277108433735,53255.686746988,249,138927,51465,65582,3723,14607,3550
"300","1088 Highway 19 N",32.92581,-84.333251,42.1611405835544,49344.1925722146,754,153238,100678,39995,1632,7337,3596
"301","1088 S Main St",32.416538,-81.79872,37.7270588235294,51212.4748982361,765,303460,190120,74068,7500,22422,9350
"302","1088 Second St",32.381306,-82.588223,42.1891025641026,36277.375,156,29211,19149,7928,227,1462,445
"303","109 Assembly Ln",32.56979,-83.592909,39.4979532163743,66811.2366863905,342,145705,91426,39488,4394,7198,3199
"304","109 N Church St",31.19986,-83.874086,37.7818181818182,49366.9696969697,33,13155,8512,1743,200,2638,62
"305","109 S Main St",34.595011,-83.763006,42.9705014749263,58188.2684911243,1356,316874,244832,26720,8381,30779,6162
"306","1090 Red Bud Rd NE",34.512134,-84.924464,39.9497398543184,52233.2518440464,961,252885,191030,19065,4734,32349,5707
"307","1092 Big a Rd S",34.565644,-83.298748,42.555737704918,56181.7881355932,122,39800,30449,3903,1279,3171,998
"308","10920 State Bridge Rd",34.046362,-84.223781,39.7763023493361,111527.122026887,979,422349,224582,68764,58945,57038,13020
"309","1093 Sparta Hwy",33.345446,-83.217121,43.9915816326531,59037.2838541667,392,169517,120722,33793,2521,8629,3852
"310","10930 Jones Bridge Rd",34.047335,-84.223021,40.2954385964912,111802.684210526,285,136803,78282,14863,22118,16260,5280
"311","10935 Commerce St",34.492172,-85.340393,40.8058558558559,40560.3302752294,222,41382,36004,3134,135,1554,555
"312","10936 Commerce St",34.49198,-85.340236,41.7935695538058,42744.463060686,762,141856,116013,10019,2851,9604,3369
"313","1094 Duluth Hwy",33.967714,-84.036045,36.5299088649544,74159.3695111848,1207,634060,314370,152965,53408,96032,17285
"314","10941 US Highway 301 S",32.397044,-81.821049,37.6367567567568,48813.2651933702,185,78541,49638,22807,650,3488,1958
"315","10945 Medlock Bridge Rd",34.046992,-84.177554,39.8070866141732,106373.496062992,254,171316,96811,29951,25318,14939,4297
"316","10945 State Bridge Rd",34.049708,-84.222744,39.25,93380.5,8,7105,3626,870,1522,841,246
"317","10946 Highway 278 E",33.592589,-83.806271,39.8495207667732,71792.5,313,133992,81514,37512,2714,9205,3047
"318","1095 Duluth Hwy",33.968782,-84.035965,36.2198830409357,70636.1834319527,342,206587,92072,58178,17851,31870,6616
"319","1095 East Ave",34.014095,-85.240923,41.3459183673469,51805.225,294,75532,55341,10158,1013,7300,1720
"320","1095 S Lewis St",32.379123,-82.061395,38.5193684210526,49410.7711670481,475,171713,108618,40606,5826,11673,4990
"321","1095 S Lewis St",32.37913,-82.060336,40.6833333333333,48286.3088235294,72,29595,18107,7461,154,3520,353
"322","10960 Dickey St",31.537464,-84.600526,41.9067164179104,44330.9328358209,134,26597,14424,10396,103,1126,548
"323","10960 Us 41",34.894953,-85.075827,40.3106463878327,55905.5214007782,263,139587,106754,13216,3948,12536,3133
"324","10965 Medlock Bridge Rd",34.048124,-84.176606,39.0748226950355,100911.872340426,282,192691,95264,39424,33440,19141,5422
"325","10966 Millarden Rd",32.984184,-84.574361,42.144776119403,49868.8358208955,67,22261,17216,4141,88,472,344
"326","1097 Baxter St",33.945862,-83.40227,37.9208955223881,66013.9552238806,67,32254,24072,4739,870,2203,370
"327","1098 Cone Blvd",30.82388,-81.663284,40.8622448979592,55793.6683673469,196,134730,65693,23805,3134,36988,5110
"328","1098 Cone Blvd",30.823883,-81.663261,40.5527315914489,64033.6112469438,421,232845,132881,34747,7748,51620,5849
"329","1098 Thornton Rd",33.773357,-84.602372,38.6219626168224,62438.580952381,214,166177,65868,75245,2363,18290,4411
"330","10980 Crabapple Rd",34.047686,-84.361679,43.6580086580087,115918.634361233,231,117021,86992,15307,3192,8359,3171
"331","1099 N Jefferson St",32.55057,-82.912085,38.9721518987342,45531.08,79,28765,17832,9682,331,572,348
"332","11 Maddox Cir",34.677373,-84.47936,43.9208205128205,60372.3050672182,975,389518,281494,46460,9689,41012,10863
"333","11 S Robinson St",31.271544,-83.464833,39.8276315789474,44100.6447368421,76,23763,16478,3008,394,3565,318
"334","11 W Howard St",34.238261,-84.945489,40.8848214285714,58547.8660714286,112,53521,39883,6427,1234,4471,1506
"335","110 Alabama Rd",33.393065,-85.25317,47.1684210526316,55809,19,4870,4477,312,9,3,69
"336","110 Alabama Rd",33.393101,-85.254091,43.6180392156863,51930.0666666667,255,65120,48318,12896,358,2006,1542
"337","110 Church St SW",31.127259,-84.154973,38.8048327137546,40449.1895910781,269,45194,25764,14726,1200,2296,1208
"338","110 Dungeness Dr",31.138519,-81.581482,41.1706940874036,67293.5221932115,778,425898,290800,53759,15151,53262,12926
"339","110 Foxfield Way",32.144627,-81.248038,38.8608778625954,72333.7307692308,524,271168,178637,53399,7640,22108,9384
"340","110 Highway 441 N",34.8796,-83.396321,44.7826666666667,59392.3602693603,1200,542964,394813,74278,17439,43759,12675
"341","110 John R Williams Pkwy",33.391527,-84.13672,37.529296875,67990.021484375,512,236301,120054,88050,4977,16271,6949
"342","110 N Veterans Blvd",31.937071,-81.928964,37.5561307901907,51680.5765595463,1101,293971,184327,64362,5915,29025,10342
"343","110 S Goodman St",31.165552,-83.437451,37.9661870503597,41269.0074074074,139,31401,19708,8396,844,1960,493
"344","110 Shope Lake Rd SE",34.447766,-84.820825,40.9461956521739,54776.7744565217,368,98897,79600,6684,964,9152,2497
"345","110 Sycamore St",34.118293,-83.571114,39.3992438563327,61664.9281663516,529,144962,108619,13524,2724,16974,3121
"346","110 US Highway 280 W",32.065227,-84.252967,40.7630498533724,44866.5953079179,341,81141,43240,30614,767,5173,1347
"347","110 W Broad St",31.262561,-84.021915,38.5857142857143,48152.4285714286,28,12839,9897,1309,202,1204,227
"348","110 Walker St E",31.517495,-82.849735,37.8784722222222,39994.3719008264,144,43014,27424,9656,234,5191,509
"349","110 Walmart Dr",33.295738,-83.386414,44.6921465968586,57601.140569395,573,184443,120907,43867,3175,11370,5124
"350","1100 E Shotwell St",30.90359,-84.561213,39.3787056367432,44783.8392484342,479,84593,47547,27932,656,6813,1645
"351","1100 Highway 19 N",32.926983,-84.333525,40.3020134228188,47034.0069444444,149,40908,29886,8482,280,1100,1160
"352","1100 Hillcrest Pkwy",32.545721,-82.937704,41.2491652754591,46936.4970008569,1198,138712,85108,43671,2186,5486,2261
"353","1100 Holcomb Bridge Rd",34.022012,-84.327004,36.9914373088685,80063.5882352941,327,209990,124430,38207,8893,31678,6782
"354","11000 Crabapple Rd",34.048758,-84.361458,39.1947916666667,103553.447916667,96,63291,42981,6254,3987,7976,2093
"355","1101 E Montgomery Xrd",31.993555,-81.105379,36.8384615384615,44837.5833333333,52,15212,8383,5482,217,550,580
"356","1101 King Rd",31.458554,-83.53159,40.3618343195266,55491.0135746606,676,183151,109813,39672,3114,27548,3004
"357","1101 N Hairston Rd",33.811231,-84.193246,34.308,52967.52,50,24139,6000,12269,1826,2937,1107
"358","1101 N Houston Rd",32.643434,-83.641824,39.158904109589,55094.9375,73,49264,27510,15143,2150,3605,856
"359","1101 N Liberty St",33.098177,-82.02177,37.0825396825397,46379.1746031746,63,30353,12566,15156,192,1773,666
"360","11012 US Highway 301 S",32.398363,-81.818124,37.0740997229917,48836.6298421808,722,194734,127109,45843,1689,15135,4958
"361","1102 Bradley Blvd",31.992369,-81.273607,37.2283783783784,66836.4142857143,74,33596,21252,6568,821,3323,1632
"362","1102 Bradley Blvd",31.992474,-81.27364,34.4827814569536,56317.8079470199,151,82152,45394,23762,2607,7033,3356
"363","1102 E Victory Dr",32.048438,-81.084848,39.5469879518072,60815.3614457831,83,38760,22807,11658,852,2477,966
"364","1102 W Spring St",33.793146,-83.731898,36.2039473684211,54727.6973684211,76,37806,24273,10675,682,1315,861
"365","1103 Athens Hwy",33.863616,-83.96251,36.705421686747,76344.7831325301,166,107708,53585,36653,3554,11021,2895
"366","1103 Fort Benning Rd",32.432482,-84.940512,39.6606557377049,35544.4754098361,61,27879,8137,17476,143,1448,675
"367","1103 Hillcrest Pkwy",32.546568,-82.937325,41.7837150127226,46652.1916010499,393,71448,46383,21125,538,2085,1317
"368","1103 S Veterans Blvd",31.921238,-81.936654,36.8846560846561,51915.1693121693,189,39004,23538,7564,378,6609,915
"369","1104 GA Highway 96",32.549313,-83.691482,37.3242424242424,72325.3559322034,594,228892,136651,61994,8130,16668,5449
"370","1104 S Church St",32.874558,-84.325727,35.9461538461538,37225.4166666667,52,18493,9482,7155,96,1275,485
"371","1104 S Martin Luther King Jr Blvd",32.072837,-84.24505,40.8346456692913,45416.1417322835,127,38723,19863,13721,1096,3221,822
"372","1104 Thornton Rd",33.772192,-84.60208,37.0890554722639,64090.0995475113,667,384915,173338,164122,6030,32880,8545
"373","1105 Dothan Rd",30.915712,-84.590536,41.1811320754717,48500.8867924528,53,22628,13297,6804,319,1681,527
"374","1105 E King Ave",30.793886,-81.666091,39.8794425087108,61586.2120141343,287,166271,113841,25631,4247,16185,6367
"375","1105 E King Ave",30.793907,-81.666098,39.2300469483568,65136.1322834646,639,340217,223138,58961,13313,33845,10960
"376","1105 Gray Hwy",32.855944,-83.616968,40.2842741935484,53252.8524590164,248,113472,72284,32308,2846,4621,1413
"377","1105 Holcomb Bridge Rd",34.023099,-84.327041,36.6602459016393,89306.0286885246,244,145296,83297,28138,10641,18305,4915
"378","1106 N Hairston Rd",33.811213,-84.194162,33.5012658227848,54254.4683544304,79,47452,11835,25059,5533,2807,2218
"379","1106 Rocky Creek Rd",32.791217,-83.657192,36.4083333333333,35280.54,108,34098,11556,19179,351,2270,742
"380","1107 S Rogers St",32.105842,-81.252751,37.3449367088608,69533.6518987342,158,105273,65466,26429,2747,6686,3945
"381","1108 N Jefferson St",32.551699,-82.913573,41.0706319702602,48252.7739463602,269,69650,39353,26514,653,1667,1463
"382","1108 Telfair St",32.528291,-82.913399,38.4909090909091,38294.2028985507,77,32572,15418,15303,344,691,816
"383","1109 Montreal Rd",33.817514,-84.245485,33.3043956043956,51038.4482758621,91,41763,8773,20911,5164,5479,1436
"384","1109 New Franklin Rd",33.067388,-85.0287,37.7395683453237,55650.2142857143,278,101669,65110,26799,2450,5317,1993
"385","1109 New Franlin Rd",33.067414,-85.029113,39.1333333333333,53353.0441176471,204,88798,60587,18700,3055,3836,2620
"386","111 Boulevard NE",33.757393,-84.371776,36.748322147651,62141.8413793103,149,80363,34033,30901,3698,9588,2143
"387","111 Boulevard SE",33.757413,-84.371948,34.3235576923077,64716.8942307692,208,141200,60631,54759,6294,15752,3764
"388","111 Mountain Vista Blvd",34.221302,-84.47164,38.2105675146771,83892.8454011742,511,217266,163805,26387,3018,18924,5132
