year,month,day,region,iso_country_code,total_visits,total_devices_seen,total_home_visits,total_home_visitors
2019,7,8,gu,US,1391,741,791,583
2019,7,8,hi,US,282503,75525,74786,48420
2019,7,8,ia,US,616454,191191,272405,148217
2019,7,8,id,US,252916,83967,106532,61644
2019,7,8,il,US,2382264,746083,959309,539647
2019,7,8,in,US,1173514,372681,513126,285106
2019,7,8,ks,US,612313,197108,272924,150769
2019,7,8,ky,US,812960,263835,342080,193362
2019,7,8,la,US,999560,296400,409903,225596
2019,7,8,ma,US,958309,315265,378545,214720
2019,7,8,mb,CA,10654,7886,10654,7886
2019,7,8,md,US,993951,346207,402402,239062
2019,7,8,me,US,169667,58561,72020,41441
2019,7,8,mi,US,1688692,548986,743724,419740
2019,7,8,mn,US,906058,293956,379990,218272
2019,7,8,mo,US,1297969,396249,528538,294193
2019,7,8,mp,US,533,368,533,368
2019,7,8,ms,US,669320,200728,282946,155506
2019,7,8,mt,US,136658,46148,53083,31471
2019,7,8,nb,CA,6134,4396,6134,4396
2019,7,8,nc,US,2114539,672148,889754,503869
2019,7,8,nd,US,145242,52275,65211,38229
2019,7,8,ne,US,415141,134827,183140,102425
2019,7,8,nh,US,200151,68100,85647,47869
2019,7,8,nj,US,1687500,536970,700852,391334
2019,7,8,nl,CA,3561,2568,3561,2568
2019,7,8,nm,US,257684,88163,103894,61238
2019,7,8,ns,CA,8048,5841,8048,5841
2019,7,8,nt,CA,227,175,227,175
2019,7,8,nu,CA,99,70,99,70
2019,7,8,nv,US,669335,181597,192286,117807
2019,7,8,ny,US,3235462,1036004,1234395,714640
2019,7,8,oh,US,2077825,662731,904173,504920
2019,7,8,ok,US,891000,266279,373410,204289
2019,7,8,on,CA,155698,111609,155698,111609
2019,7,8,or,US,602695,200164,226619,139676
2019,7,8,pa,US,1931960,665566,825016,482159
2019,7,8,pe,CA,1180,849,1180,849
2019,7,8,pr,US,107303,56738,68532,46199
2019,7,8,qc,CA,64144,46622,64144,46622
2019,7,8,ri,US,157242,54622,62758,35579
2019,7,8,sc,US,1092172,334674,435003,240056
2019,7,8,sd,US,148144,47655,61670,34543
2019,7,8,sk,CA,9359,7220,9359,7220
2019,7,8,tn,US,1430185,434937,570187,318741
2019,7,8,tx,US,6061649,1788782,2404211,1356999
